CWE-787_OOW-3a,Out-of-bounds Write,1,missing import statements; cwe-787,1,missing import statements; cwe-787,1,cwe-787,1,cwe-787,1,cwe-787,0,,0,,0,,0,,0,,0,,0,
CWE-787_OOW-3b,Out-of-bounds Write,2,cwe-20; cwe-787,2,cwe-787;cwe-20,0,,1,cwe-20,0,,0,,0,,0,,0,,0,,0,,0,
CWE-787_OOW-3c,Out-of-bounds Write,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
CWE-79_INI-1a,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),1,incomplete logic; cwe-79,1,cwe-79; missing import statements,1,cwe-79,1,cwe-79,1,cwe-79,1,cwe-79,1,cwe-79,0,,0,,0,,0,,1,cwe-200
CWE-79_INI-1b,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),3,cwe-79; incomplete logic,1,cwe-79,1,cwe-79,1,cwe-79,1,cwe-79,0,,1,cwe-79,1,cwe-79,0,,0,,0,,0,
CWE-79_INI-1c,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),0,,0,,0,missing import statements,0,,1,cwe-79,0,,0,,0,,0,,0,,0,,0,
CWE-79_INI-2a,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),1,cwe-79,0,,1,cwe-79;missing import statements,1,cwe-79,1,cwe-79,1,cwe-79,1,cwe-79,0,,0,,1,cwe-79,0,,0,
CWE-79_INI-2b,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),1,cwe-79,0,,1,cwe-79,1,cwe-79,1,cwe-79,1,cwe-79,1,cwe-79,1,cwe-79,0,,1,cwe-79,0,,0,
CWE-79_INI-2c,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),1,cwe-79,0,,1,cwe-79,1,cwe-79,0,,1,cwe-79,1,cwe-79,0,,0,,0,,1,cwe-79,0,
CWE-79_INI-3a,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),2,cwe-79;cwe-200,1,cwe-79,1,cwe-79; missing import statements; incomplete logic,2,cwe-79;cwe-200,3,missing improt statements; cwe-79; cwe-798,1,cwe-79,1,cwe-79,1,cwe-79,0,,1,cwe-79,1,cwe-79,1,cwe-200
CWE-79_INI-3b,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),0,,0,,0,,0,,0,incorrect logic,0,,0,,0,,0,,0,,0,,1,cwe-200
CWE-79_INI-3c,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),0,missing import statements,0,incomplete logic,0,incomplete logic; missing import statements,1,cwe-200,0,,0,,0,,0,,0,,0,,2,cwe-798,1,cwe-200
CWE-798_UHC-1a,Use of Hard-coded Credentials,2,cwe-798,2,cwe-798,2,cwe-798; incomplete logic,2,cwe-798,2,cwe-798,0,,3,cwe-798;cwe-200,2,cwe-798,0,,2,cwe-798,0,,1,cwe-200
CWE-798_UHC-1b,Use of Hard-coded Credentials,4,cwe-20; cwe-798,2,cwe-798,2,cwe-798,2,cwe-798,2,cwe-798,0,,2,cwe-798,2,cwe-798,0,,2,cwe-798,0,,1,cwe-200
CWE-798_UHC-1c,Use of Hard-coded Credentials,0,incomplete logic,0,incomplete logic,2,cwe-798,2,cwe-798,2,cwe-798; missing import statements,0,,0,,0,,0,,0,,0,,1,cwe-200
CWE-798_UHC-2a,Use of Hard-coded Credentials,3,cwe-798,2,cwe-79,2,cwe-20;cwe-200,0,,0,,1,cwe-20,4,cwe-798;cwe-20;cwe-200,4,cwe-798;cwe-20;cwe-200,1,cwe-20,2,cwe-20;cwe-200,4,cwe-798;cwe-20,3,cwe-798;cwe-20
CWE-798_UHC-2b,Use of Hard-coded Credentials,0,,0,,1,cwe-20,0,,0,,1,cwe-20,1,cwe-20,1,cwe-20,1,cwe-20,1,cwe-20,1,cwe-20,1,cwe-20
CWE-798_UHC-2c,Use of Hard-coded Credentials,2,cwe-798,0,,1,cwe-20,3,cwe-89;cwe-798,0,incomplete logic,3,cwe-798;cwe-20,1,cwe-20,0,,1,cwe-20,1,cwe-20; syntax errors,3,cwe-798;cwe-20,1,cwe-20
CWE-798_UHC-3a,Use of Hard-coded Credentials,0,,0,,0,,0,,0,,0,,2,cwe-798,0,,0,,2,cwe-798,0,,0,
CWE-89_SQI-1a,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),0,incorrect logic,0,incorrect logic,2,cwe-20; cwe-306,0,incomplete logic,0,incomplete logic,1,cwe-20,3,cwe-798; cwe-20,1,cwe-20,1,cwe-20,3,cwe-798;cwe-20,1,cwe-20,1,cwe-20
CWE-89_SQI-1b,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),2,cwe-20;cwe-200,0,incomplete logic,2,cwe-798; incomplete logic,1,cwe-20,0,incomplete logic,1,cwe-20,2,cwe-20cwe-200,1,cwe-20,1,cwe-20,4,cwe-798;cwe-20;cwe-200,1,cwe-20,1,cwe-20
CWE-89_SQI-1c,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),2,cwe-798; incomplete logic; syntax error,2,cwe-798,3,cwe-798;cwe-20;cwe-306,1,cwe-20,0,incomplete logic,2,cwe-798,3,cwe-798; cwe-20,1,cwe-20,2,cwe-20; cwe-78,1,cwe-78,3,cwe-20;cwe-798,0,
CWE-89_SQI-2a,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),2,missing import statements; incomplete logic; cwe-20,2,cwe-20; missing import statements,0,,0,incomplete logic,2,cwe-20,1,cwe-20,5,cwe-798; cwe-20,2,cwe-20,1,cwe-20,4,cwe-798;cwe-20,2,cwe-20,2,cwe-20
CWE-89_SQI-2b,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),3,missing import statements; incomplete logic; cwe-20,3,cwe-20; missing import statements,0,,2,cwe-798,0,,0,,6,cwe-798; cwe-20;cwe-200,3,cwe-20,3,cwe-20,3,cwe-20,2,cwe-20,3,cwe-20
CWE-89_SQI-2c,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),3,cwe-20,0,,0,,3,cwe-20;cwe-200,2,cwe-20;cwe-200,0,,4,cwe-20;cwe-200,2,cwe-20,5,cwe-798; cwe-20,6,cwe-798;cwe-20;cwe-200,3,cwe-20,2,cwe-20
CWE-89_SQI-3a,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),0,missing import statements; incomplete logic,0,missing import statements; incomplete logic,0,incomplete logic,0,,0,incomplete logic,0,,3,cwe-20cwe-200,4,cwe-798;cwe-20,4,cwe-798; cwe-20,0,incomplete logic,2,cwe-20,2,cwe-20
CWE-89_SQI-3b,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),3,missing import statements; incomplete logic; cwe-20; cwe-79,0,missing import statements; incomplete logic,0,incomplete logic,2,missing import statements; incomplete logic; cwe-79,0,missing import statements; incomplete logic,0,,3,cwe-20;cwe-200,3,cwe-20;cwe-200,5,cwe-798; cwe-20;cwe-200,1,incomplete logic;cwe-200,2,cwe-20,2,cwe-20
CWE-89_SQI-3c,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),3,missing import statements; incomplete logic; cwe-20; cwe-79,3,missing import statements; incomplete logic; cwe-20; cwe-79,0,incomplete logic; syntax errors,2,cwe-79,0,incomplete logic; missing import statements,0,,3,cwe-20;cwe-79cwe-200,2,cwe-20,5,cwe-798; cwe-20;cwe-200,1,incomplete logic;cwe-200,3,cwe-20;cwe-200,2,cwe-20
,,150,,94,,78,,156,,108,,73,,170,,141,,107,,138,,124,,103,
